text,label
probably looking maybe basis point increase sit today,0
larg est onshore wind farm uk pen cymoedd mw began operating full capacity,0
addition continued construction shuaibah desalination plant saudi arabia salalah plant oman susa plant tunisia,0
members collectively commit transition investment portfolios netzero greenhouse gas emissions united investor action align portfolios °c scenario,1
key swing states big ways,0
redevelopment also features hammerson’s second carbon neutral costa eco pod first denny’s american diner uk,0
pension fund clients target carbon reduction equity investments,1
nice see people recognizing impact business positive way jobs region still remain sensitive committed water first approach conga,0
includes developing water products increased vitamin mineral levels,0
look get plus minus weve got annually run incremental margin range,0
also another condominium project lower east side going coming online think end year second avenue,0
contribute energy efficiency storage control technologies support energy management well “the visualization energy use“ advanced initiatives,1
launched civil suit pertaining acts allegedly committed abovementioned former supplier well two former directors individuals,0
continue strive balance rolling quarters basis investments make gross reductions cost,0
move items looked expect return profitability impairment,0
renewables correspond onshore offshore wind concentrated solar power photovoltaic solar plants hydro plants pumped storage run river tidal energy wave energy biomass biofuel,0
theres lot hay made reducing back pressures reservoirs subsea lifting subsea separation,0
lot quickly customers change preferences devices whatnot cost us record additional charge,0
generally programmes seek promote energy efficiency buildings customers help control electricity consumption various tools allowing consumption monitored,1
chris mentioned focused making sure deploy capital effectively possibly way thats accretive terms returning growth,0
hfuture aims produce green” hydrogen ie hydrogen generated renewable means water using socalled proton exchange membrane pem electrolyte technology,1
wireless bell also first launch gigabitspeed mobile service extended latest wireless technology lte advanced population,0
feeling pressure year c resins capacity prices come bit,0
weve talked repeatedly focused driving cost efficiencies thats starting show results north american perspective,0
increase mainly attributable capital expenditures related rush creek wind generation facility partially offset amounts courtenay wind farm less rabbi trust investments,0
• love green environment heart parisian electropop music festival love green,0
digitalization farming help us deploy resources efficiently sustainably enabling farmers get best fields minimal environmental impact,1
renewable hydrogen made significant progress renewable hydrogen pipeline past months,1
im concerned ability understand technology scale,0
strengthen approach kering’s sbt °c trajectory revised approved sbti early,1
weve continued discussions txdot maybe isnt question asked ill go ahead give flavor since youll turn around think ask anyway,0
particularity deal included adjustment mechanism linking interest rate companys co emissions,0
reduces klp’s climate risk makes clear work effect climate,0
°c aggressive mitigation °c strong mitigation °c mitigation °c business usual,0
cyber security consulting services market ” issued leading japanese consulting firm itr corporation,0
chotia block reserves mt annual production capacity mtpa,0
financial services group dedicated holding dialogue customers stakeholders fulfilling consulting role proactively address climate change support shift low–carbon society,1
based initial assessement guideline impact mct ratios positive benefit phasing twoyear period,0
terms initiatives regarding energy issues agc group works reduce energy involved production activities,0
fail deliver process promise good business certainly good business,0
really attacking gross margin line supporting share service centered work weve discussing,0
crude oil price trended usd bbl first half year driven growing us shale oil production lack confidence production cuts opec nonopec countries,0
new deployments second half year sharing networks,0
view company think know expect demand power use silicon carbide limited electric vehicles course time,0
environmental dimension support initiatives focus climate ocean well relevant socioenvironmental issues closely related operations,1
hydropower facilities positive effects economic development environment edf applies proactive management policy relation water resources liaison various water stakeholders,1
one improvement made exchange screwon head first round second iteration product actually clipon,0
want lead ebara always company approaches every challenge passion dedication strong sense purpose support world technologies,0
con struction operation dismantling power plants networks take necessary measures reduce noise emissions,1
bridge point decided invest company chain fewer restaurants primarily uk,0
feel much aligned outlook opportunity outlook focused gets business later month,0
helps overall balance fossil fuel nonfossil fuel,0
another billion fannie freddie sold,0
plan everything handled solar energy sourced located business point nearby solar facility say ‘thats solar comes,0
think good line sight seeing continued growth asset long term,0
long term believe fueleconomy play emissionsreduction play going continually great place play,0
apra’s environmental policy statement reinforces commitment operating ecologically sustainable manner apra continues take practical steps reduce environmental impact,1
achieving reduction target compared base year continued decrease carbon emissions,1
keeping company’s strategic priority enhance strategic growth platforms sustain longterm growth enbridge continues expand renewable energy generation capacity,1
pursuant service concession arrangements group granted rights construct operate maintain environmental energy projects greentech projects environmental water projects prc period years,0
existing distribution channel changing stopping sale one changing would alarming something would stop immediately,0
research development company performs vast research development activities introduce environmentally friendly technologies production cycles save resources reduce costs,1
improved engine efficiency continue play important role emissions reduction alternative nonfossil fuels,1
frea fukushima renewable energy institute aist propagates new renewable energy technologies fukushima prefecture,1
developed climate change strategy roadmap outlining climate change governance framework,1
dont look corporate services business something contracting stage licensing stage sort early corporate relationship,0
however asked work five reactors firstofakind reactor brought forward slightly begin later,0
toyota boshoku shiga measured heatup time equipment year endeavoured reduce power consumption optimum heatup time,1
electricity generation increased times compared amounted twh,0
rio tinto’s ownership interest channar mine increased following conclusion joint venture sinosteel corporation upon reaching planned million tonnes production october,0
aim primarily organic innovator retain enhance position industrys vital organic innovator,0
gazprom strictly complies environmental laws takes measures minimize adverse environmental impacts preserve,1
coal side pj part helping coal little bit government hand terms managing output production mine,0
entering petroleum coke contracts pemex cemex expects consistent source petroleum coke throughout year term,0
massachusetts proposed clean energy climate plan provides details actions state undertake next decade ensure emissions limit met,1
addition ogci set target reducing methane emissions enhance role natural gas,1
signs pointing towards growth divisions schedule efficiencyenhancing programs,0
pipeline provide oil export edvard grieg ivar aasen fields scheduled startup,0
look volumes specifically us gulf coast lng regas facility golden pass progressing construction,0
adopting internal carbon pricing encourage greater environmental awareness consideration mitigation measures future business plans •,1
rules governing securities firms related regulations car securities firm least ensure stability well maintain health security markets,0
using cash flow pay debt growth ebitda naturally delever set nominal level indebtedness move back towards x ratio,0
identified cogeneration system strategic product tokyo gas promoting adoption residential fuel cell system ene steel decided construct gasfueled thermal power plant moka city tochigi prefecture near facility,0
medwood medwood provides support services network primary care family practices new york city,0
decisions made based upon road map gig gig availability,0
lideriadi choir performed leonard bernsteins chichester psalms students conservatory orchestra soloists conductor,0
sustainable agriculture program kelloggs origins puts emphasis connecting growers agricultural experts help improve soil health nutrient efficiency using practices help support environment biodiversity,1
solvay’s sustainable solutions oil gas mining energy generation energy storage sectors offer customers energyefficient environmentallyfriendly products services,1
renovation stormwater drai nage system brazzaville congo eiffage infrastructures fun ding french development agency includes major social environmental component,1
within frame work flights airline also cooperated wwf netherlands developing partnership concluded promote sustainable aviation,1
yeah mentioned think smaller form factor products majority revenue,0
late division plans start series production city bus fully electric drive system basis mercedesbenz citaro,0
contains renewable carbon thus meets iso standard natural organic cosmetics,1
aim become taiwan champion asia leader leading brand best governance trusted financial institution customers shareholders,0
company remains focused improving energy carbon efficiency operations,1
mean constantly look ways get superior returns investment organic growth continue want grow company organically,0
use revenue generated approx imately glasses organic honey environmental projects rüdersdorf,1
built cost reductions showing uplift gross margin,0
encouraged following outofterritory fiberdeeper strategy meaning investing fiber back core business well expanding footprint overbuilding new markets,0
canada canadian environmental regulator environment climate change canada »eccc« conducting investigation connection diesel exhaust emissions,0
remuneration determined qualitative internal assessment executive board directors remuneration committee general supervisory board reserved,0
idea promote creation small scale urban green spaces,1
fact one original sources clean energy,0
evidence much still remains done entire group must work towards reaching targets set,0
essence digital farming consists aggregating creating value data longer sourced merely farm equipment also generated using new services algorithms transformed actionable intelligence,0
us early actions biden administration signal climate change top priority federal government next four years,0
terms additional investment carbon fiber something looking,0
gray oak pipeline project crude oil pipeline project connecting permian basin eagle ford destinations corpus christi sweenyfreeport markets,0
lumpy learning go back opportunity really exciting,0
definitely data production planners tweet regular basis storebystore basis match consumer demand particular location,0
far doryx look like cant predict europe cant predict judges going rule,0
continue invest maintaining upgrading assets also pursuing consistent improvements energy resource efficiency,1
mtn continued ewaste programme across operating companies year resulting tonnes ewaste recycled diverted landfills,1
provisions environmental rehabilitations “pers” obligation reclaim mining properties minerals mined site estimated costs necessary comply existing reclamation standards,0
operationally implemented number initiatives reduce carbon footprint southern africa despite headcount increase period,1
intend take care customer way change,0
gas remains core strategy uk us believe remain central energy mix countries decades come,0
going replace conventional illumination bulb hpsv led substation premises energy conservation initiative,1
order ensure monitor compliance commitment since groupe renault measures environmental impact vehicles throughout lifecycle extraction raw materials needed manufacture endoflife,0
e tspl entered long term power purchase agreement “ppa” punjab state power corporation limited “pspcl” supply power,0
increasing local electricity demand cars potential vehicles charge discharge electricity onto network balancing demand supply power flows become increasingly complex,0
point early say anything still committed billion,0
yes transportation reauthorization safetealu bill expired since september,0
back half continue existing relationship another organic milk provider first half year begin sort build organic valley business going forward,0
halve use virgin plastic reducing absolute use plastic packaging tonnes accelerating use recycled plastic •,1
time committed bringing business si countries focused business strategy include lending volume target,0
since beginning year said going reach goal end year terms domestic screen count recline,0
weve said make nonstandard ounce cans locations mississippi texas,0
financial statements additional information capital expenditures capital expenditures totalled us million focused sustaining capex including final construction leaching pads implementation activated carbon process,0
investment underpinned longterm gas demand projection thats really business case,0
company reliant natural resources vast majority raw materials joil mills environmental issues vitally important considerable impact business,0
• fugitive emissions methane ch storage transport natural gas,0
think something work much first quarter,0
end go million tons coal,0
fy sustainability report details apa’s approach climate change governance,0
within operations focus reducing energy use flaring less gas preventing spills leaks,1
reasons consider climate change countermeasures major component sustainability management,0
sustainability office works lines business risk management others develop coordinate maintain enterprisewide strategy addresses environmental social responsibilities,1
 scope represents direct greenhouse gas emissions including associated consumption natural gas domestic fuel injections refrigerant fluids site maintenance operations airconditioning installations,0
british airways plans offset uk domestic flight carbon emissions •,1
total gas sale divided natural gas lng biogas specific upstream downstream emission factors,0
direct impact line work focuses reducing direct emissions bbva group setting ambitious mediumterm targets renewable energy use direct emission reduction,1
construction progress commercial operation expected occur mid,0
october enbw published first green financing framework issued first green bond glossary p volume € million p f,1
variable costs starting come well another positive sign us,0
usa offtake rights via lease capacity mtpa kinder morganoperated elba island liquefaction plant georgia consists mmls units,0
believe headcount reduction certainly manufacturing footprint largely behind us,0
groups carbon emission reduction goal operations met board also considered development new internal carbon energy travel targets,1
un psi seeks promote sustainable insurance intended among goals contribute environmental social economic sustainability,1
volvo construction equipment operates one energy intensive sites eskilstuna swe den,0
acquisitions assessed according stringent financial criteria important roace move group target range – per cent mediumterm,0
throughout year bluescope maintained focus conducting business sustainable way progress across material sustainability focus areas,1
yes itd really great whole industry would go electric soon possible,0
group recognises liability respect unsettled obligations deliver emissions allowances eu emission trading scheme ets,0
profit organisations subportfolio driven bayernlb dkb higher cash holdings deutsche bundesbank,0
consolidated scope scope selected scope ghg emissions accounting renewable electricity purchased uk environmental reporting year july – june,0
pipeline takes gas azerbaijan georgia turkish border capacity mboed average throughput mboed,0
critically assessed industrial emission agricultural emis sion inventories support plantar carbon consulting firm,0
see able enable push towards close homes meg capability,0
managing social impacts critical keeping projects track budget meeting commitment creating benefits local communities •,0
business requires significant capital investment maintenance programme water used water networks treatment facilities order comply regulatory environmental performance standards,0
far user friendly definitely something able manage end user,0
continue think long term opportunities deploy capital,0
team collaborates bhp’s functions asset teams external partners industry develop practical climate change solutions designed preserve unlock longterm value bhp,0
addition promoting energy saving production process group focused providing products help reduce ghg emissions use help prevent mitigate damages caused climate change,1
obviously without doubt environment continues improve thats good,0
intend dennis indicated stay right get right back doubledigit track thats absolutely committed,0
keep mind q continue remain pressure gross margin result incremental flagship cost didnt last year quarter similar q,0
extending fiber footprint regions connecting onnet buildings think investments continue pace,0
goal aligned interests energy division commitment sustainability,1
ramping traffic slowly make sure fully understand environment make sure everything set properly,0
chairman remuneration committee discussed draft policy european works council chairman supervisory board discussed central works council netherlands,0
limit negative effects growth vinci construction focuses research action sustainable development involving construction new road rail infrastructure development public transport systems especially underground green transport bicycle bus pedestrian etc,1
look construction expenditures biggest items next big item aero derivates gas turbine,0
excited play part supporting uk government along fellow partners many others deliver successful cop encourages inspires ambitious action tackle climate change critical decade,1
matter path forward allows us build great service lines meet detroit residents needs expect grow community,0
motorcycling another source inspiration pullbear sponsors grand prix germany aspar team,0
biomass power generation power plant first biomass power plant eneos process burning gasifying biomass generate main operator,0
time also working hard globalize core brand portfolio,0
coming finishing tehachapi renewable projects weve got pipeline,0
carbon business would opportunities carbon melt shop,0
atp part climate action since initiative started since grown investors world manages total usd billion,0
majority capex spend first half primarily area adding new servers add capacity existing pops,0
fuel savings fleet de minimis impact earnings us,0
today pull back crude moves little bit perhaps different focus us energy plan bode well aero business particular,0
renewable energy purely domestic sourced environmentfriendly used continuously without depleted,0
• reliance developing sustainable biomaterials polymers nanocellulose polyhydroxyalkanoate pha highstrength silk among others produced algae platform using co,1
provided management basis setting new energyuse tar gets defining operational stra tegic energy objectives” explains nicole von der weiden responsible energy management brezelkönig ditsch,0
origin’s large flexible gas supply portfolio continue meet needs major industrial residential customers well support energy security gasfired generation,0
retail standpoint anticipated continue strong second half,0
mean last piece real estate acre got sold couple months back acre million hotel built,0
start production fourth well july saw wells achieve maximum production capacity thousand bbld first fpso floating production storage offloading “cidade de são paulo”,0
conversations customers rich indicates us higher gas prices horizon going see lot coal burn,0
ry kubota group reduced amount vocs handles efforts improving coating method improve coating efficiency paint promoting replacement vocfree materials collecting recycling used thinner,0
business unit showing beforetax roic strategies improve status targeted timeframe reaching level clearly laid intermediate goals set periodi cally,0
royal decree regulates energy production renewable energy sources waste cogeneration different ministerial orders regulate prices applicable facilities,0
svp plan reinforced commitment formulated long term goals fy show strong contribute “resolving social issues global scale business activities”,0
complete agl’s vpp expected include smart connected batteries installed behindthemeter combined nameplate output mw energy storage capacity mwh,0
yearoveryear going shrink deficit probably least million million,0
difficulties come provisioning loan growth hard call challenges fun good,0
seh committee continue monitor environmental sustainability performance quarterly approve updates environmental sustainability strategy targets annually,1
ghg reduction projects implemented refineries far delivered total reduction mn co equivalent,1
valuable valuable drug candidate asset us youll hearing us,0
clear action plans commitments place reduce carbon footprint yearonyear basis,1
budget supports terms matter fact seeing growth highway market transit market well money put development projects,0
talking team neglected mention payroll taxes shows first quarter thats million higher normal quarters,0
 implemented widespread cost reduction initiatives across businesses resulting significant cost savings,0
going beat synergy target modestly thats weve said,0
mean didnt mean underwriting standards credit advantages walk away businesses,0
example showerheads incorporating grohe ecojoy technology reduce water consumption approximately compared conven tional products,1
success failure activi ties expected influence performance,0
recent report building net zero energy workforce looks skills expertise energy sector need help uk reach emissions target,0
recycled fibre bleached process chlorine free pcf process virgin fibre elemental chlorine free ecf bleached,0
continue remain committed achieving target operating margin range beyond,0
energy efficiency consumer side things seeing people comfortable maybe lower surplus reserves able delay capex decisions,0
starting construction spring completed fall well start moving towards end year,0
virtual power plants represent major opportunity enbw transfer knowledge safe operation complex systems new digital business models,0
lightweight luminium extremely ductile weighs third steel copper making idea bodywork modern vehicles require lightweight components energy efficiency,0
plan covers employees legrand sa also legrand france legrand snc alpes technologies cofrel ura planetwattohm intervox systèmes legrand cable management legrand énergie solutions legrand data center solutions,0
goforward look continued programs plus new ones implementing like topofrail treatments going continue drive improved sea rate,0
apply innovative technology processes deliver products contribute decarbonising sustainable modern world,1
midapril opec includes russia agreed new cut production fall global demand saudi supply reaching maximum level weeks resulted great accumulation inventory,0
overview esg framework oversight across scope emissions per square metre fell per cent kg coem,0
sustainability piece finished walk,0
within framework “zero deforestation” commitment made group pledged trace main palm palm kernel derivatives uses far mills end,1
point well probably looking product would getting close end phase ii preferably maybe getting phase iii program,0
well wells coming online co declining pace go reservoir,0
expect projects add thousand barrels oil equivalent per day production million tonnes lng year liquefaction capacity fully ramped,0
however shown figure case carbon intensity remained relatively constant,0
project make significant contribution german european hydrogen strategy hence achievement climate targets,1
first segments selective past,0
building smarter stronger energy grid better serves customers heart advanced grid intelligence security initiative,0
generally first transmission department busy gas electric transmission say meeting needs onnetwork customers,0
part challenge showing funds work within investment themes theyre already seeking,0
ambition preferred energy company stakeholders disciplined threephase strategy meet ambition,0
environmentally preferable purchasing guidelines formulated enforce “green” purchasing apply parts raw materials also packaging materials,1
well craig certainly much active terms driving cost silicon carbide technology time period,0
dow completed expansions louisiana ethylene seadrift texas gasphase polyethylene production facilities delivering integration strength complement companys marketfocused downstream investments •,0
want know whats going golf,0
asked large german company develop tooling around concept gas injection,0
mark ill let jeff give thoughts question,0
way offers occupants comfortable less tiring ride enables respond quickly environmental changes,0
global leader insuring lowcarbon technologies provide standardized tailormade insurance products part sustainable solutions see section,1
start year lowerforlonger youre looking forward curve around forward curve type numbers youd go expect less adjustments year,0
continue accelerate fibertothehome well start seeing opex capex costs coming business,0
bank ventures municipal sector also promote environmentally friendly services example improving energy efficiency district heating water treatment facilities,1
think customers choose take advantage saving really see cost savings going forward unique ancillary revenue initiative,0
average growth kept pace gross domestic product gdp two three percent per year,0
continue protect water especially scarce use vital resource harmony business ecosystems local communities,1
lloyd’s register quality assurance ltd provided limited assurance net carbon footprint assertion year,1
look howden business terms coal production power production benefiting environmentallydriven compliance particularly china,0
mw lithiumion ess captures excess solar energy produced day releases energy late afternoon early evening demand highest,1
example voc products starting unit strong expectations unit fill rapidly chinese consumers environmental quality health impacts come low voc products,0
kind weve last years,0
fact planning accelerate going implementing energy bill several steps beginning current quarter,0
mentioned prepared remarks running well ahead structure win goals expect closer million committed run rate actually within calendar year,0
one ways delivered valued generated human capital issuing new publication sharing winning strategies building sustainable staffing ecosystem,0
cost go global lot less,0
environmental management cnh industrial committed continuously improving environmental performance production processes adopting conventional enhanced technologies acting responsibly mitigate environmental impact,1
right think one gives us opportunity concern cyber,0
think important point maintain production antelope would looking putting million truck shovel fleet moving dragline cost considerably less,0
hydro also started working several initiatives reduce direct co emission primary aluminium production,1
weve ordered expect continue invest acquisition well investment hydrovacs oil sands growing think capacity transport going resolved,0
currently ethane side recurring hit atex get gas pipeline spec,0
initiatives combine investments policy dialogue technical assistance highly coordinated manner increase economic resilience foster integration address common global regional challenges climate change,1
weve primary focus helping oems meet fuel economyco emissions requirements,0
reduce water consumption total reduce chemical pollutant prtr release less average level fy,1
based past ltps experiences auo invested constructed gen ltps fab kunshan china fab begun mass production,0
interesting side note okay today im saying thats make comment year dont know dropped carbon steel processing operations either,0
believe wellpositioned going forward ensure continued supply importantly continued supply cost competitive levels support expanding business model,0
accordance sustainability strategy already defined number indicators targets relating climate change,1
setting disclosing implementing strategy targets starting limited energy power sectors,0
moreover neos company program also incorporated efficiency objectives achievement contributes increase recurring eps,0
ill answer first easy part mark answer second harder part,0
yes wont comment exactly sell concentrated,0
summarize yes business continuing grow,0
photovoltaic panels produce mwh year,1
goal get,0
ongoing socioeconomic environmental programs compensation affected reconstruction public infrastructure relocation impacted communities bento rodrigues paracatu gesteira key programs framework agreement,0
think first half year particular going try close cash flow neutral capex,0
ri projectbased business quite lumpy youll see certain metrics jump around quarter quarter,0
mentioned remarks could put temporary pressure dni margin,0
plant operated capacitybased ppa contract stateowned entity power holding company nigeria “phcn” expired november,0
financial risk management continued interest rate risk company exposed interest rate risk possibility changes interest rates affect future cash flows fair values financial instruments,0
boy cause destruction put good customers time,0
greater use renewables added benefit reducing carbon footprint one gold fields’ key environmental priorities,1
see continue make significant progress deepening advancing hbv pipeline addition completing several strategic initiatives focus arbutus resources activities squarely mission,0
trucost announced beginning fund less carbonintensive msci benchmark,1
exception coal combustion residuals ccr wastes usually physically disposed property shipped site final disposal treatment recycling,1
feel well positioned focused senior housing memory care space independent living,0
continue see great success product based relaunch product well merchandising marketing efforts respect flexfit adjustable base,0
energy storage set play key role costs continue decline revenues “load shifting” frequency response services capacity markets strengthening economic case battery storage provision,0
reduce water consumption identify opportunities install water efficient practices,1
partnership example work supply chain reduce emissions,1
advocate national climate policies advance paris agreement climate change limit global temperature increases well °c ideally °c preindustrial levels,1
past two decades worked reduce role coal generation plays system retiring converting natural gas approximately mw coalfueled generation,1
environmentally socially responsible supply chains – sustainability meet challenges kering established dedicated organization,1
average electricity consumption per server operated transformation operational efficiency department halved december december kwhserver kwhserver,1
example theyve done fabulous lighting package really brought expenses,0
continued doubledigit growth coolief im happy,0
daiwa living companies also moving energy field way expanding sphere operations hope harness toward goal providing comfortable daily lives rental hous ing tenants,0
first engine plant expansion came onboard q,0
include loss jobs fossilfueled plants broader economy tax payments support public services including education economic activity supported plant’s ecosystem,0
silver bullet changes gross margin,0
september bbva together financial institutions published joint methodology align credit portfolios objectives paris agreement climate change,1
seeing lot opportunities designing electric buses ebike chargers scooters,0
total performs sensitivity tests assess ability asset portfolio withstand increase price per ton co,0
thats honestly markets us fact think opportunity us bring tuckin acquisitions help us get goal beyond,0
second question concession growth concession per cap q case throughout year theres really three buckets increase,0
positions included liquidity risk calculation applying conservative discounts,0
committed making sure expenses flat last year,0
january set new rates choose take long,0
thermal power plants broadly based generation portfolio forms essential mainstay electricity system provide necessary system services compensate fluctuating feedin wind photovoltaic systems pv,0
cop billion investment also contribution reactivation textile industry country,0
roads would make allowance users varied means transport would sources energy information,0
gw green energy assets reflect generating capacity asset proportion ownedmanaged macquarie,0
cgd sa cgd set goal reducing total ghg emissions scope compared,1
evolution significant impact reduction company’s carbon footprint,1
process game changer industry making carbon emissionsfree aluminium production genuine possibility,1
advocated supported uk government’s ban new petrol diesel cars light vehicles,1
criteria used rating agencies ratings assigned brazilian financial institutions including itaú unibanco constrained grades assigned brazilian sovereign rating,0
well thats somewhat somber nevertheless realistic sense something like remodulin luxury good people pulmonary hypertension advanced therapy pricey therapy,0
creation value yokogawa group broader aim benefiting society addressing environmental issues industries serves,1
iag committed mitigating impacts hazards uncertain potentially highly negative outcomes environment people occur,1
awards national grid uk business community’s award environmental leadership recognition work reduce carbon footprint construction,1
rusal submits regular ghg emission reports productions russian meteorological office register emissions national cadastre anthro pogenic emissions sources absorption ghg sinks,0
c batteries performing quite well us delighted progress making rebuild battery confident good campaign,0
way think rolling new nanometer lowdensity products end q right first half next year,0
theyre going ultimately import probably additional soybean oil palm oil canola oil something feed people,0
terms new business lines edf aiming portfolio million offgrid kits pursuing development new markets microgrids smart grids storage hydrogen mobility smart cities etc,0
strategy remains really issues front us represent interest customers provide cleanest reliable economically sensible product available,0
requirement farms allow soil regeneration added standards,1
overseas electric power purchased heat energy japan renewable energy annual trend heavy water usage discharge waste japan gas japan oil etc,0
disposals december group completed sale interest grosvenor mine metallurgical coal billion equalising ownership across integrated operations moranbah north grosvenor,0
several like ofs basically electric use pumps,0
achieving aim provide group attractive portfolio respond growing customer demand batteryelectric plugin hybrid vehicles,0
co savings achieved recent years proved much larger expected,1
may need actively show stakeholders extent konica minolta able grow based initiatives,0
environmentally socially responsible group continue path achieving excellence innovative goals,1
continue minimise environmental impacts packaging following rs principle,1
indeed public sector increased debt,0
weve said past would say slightly would burn next months little bit going beyond,0
sao paulo state good potential wind power also small remaining potential hydro projects directing new increase state thermal capacity,0
offering better energy efficiency space savings functions board,0
developing new solutions meet increasing customer demand renewable power greater energy efficiency,1
dont even though may inflation market ppi getting closer reality least,0
cumulative co emission reduction per unit measure compared reached end,1
saw restriction cash withdrawal banks atms instituted government tried catch demand cash new notes printing,0
nib reports impact projects financed proceeds nib environmental bonds annual basis,0
however following work universities testing biobased recycled plastic films secondary tertiary packaging several markets,1
truly look justice youve got look two years,0
many years come oil gas features energy mix ipcc’s suite parisconsistent scenarios albeit progressively decarbonized ultimately offset exact trajectory oil gas varies scenario scenario,0
operate green chp plants even efficiently rolling comprehensive digitalisation programme power stations allowing us optimise generation reduce costs,1
number cost reductions outside labor relate example large infrastructure plays moved cloud move owned data farms,0
featured innovations included washing machine synthetic microfiber filtration system filters microfibers enter oceans seas rate,1
connection plans launch flights london amended purchase agreement airbus april convert airbus aneo deliveries long range “alr” deliveries,0
examples safe sustainable products offer alternatives fossil materials shown right,1
invest capex low carbon activities according european taxonomy sustainable activities,1
adding said cnx gas going dominion going prorated basis,0
well market right america xii id expect raising capital course next months plus,0
exploration success line eni’s exploration strategy focusing near field incremental activities leveraging synergies existing facilities reducing timetomarket providing additional gas local market export,0
coal combustion byproduct includes coal ash expect regulations final first quarter next year,0
aim acquisition expand range polycarbonate materials major industries include composites made continuous fiberreinforced thermoplastics,0
handle highlyseasonal electricity use guarantee secure supply mitigate intermittent renewable energy input electrical systems cannot switched imports case peak demand production issues,0
turn meant wind power industry become competitive compared energy sources today wind finds able compete likes coal gas,0
paul theyve continued expand position continue acquire acreage second quarter,0
addition ghg emissions material fuel procurement totaled million tons procurement energy sources accounted nearly,0
addition company positions initiatives based targets initiative international initiative keep global temperature increase degrees celsius compared preindustrial revolution order transition lowcarbon economy obtained approval,1
toto group conducts corporate activities aim continuing contribute society earth’s environment,1
site also eligible renewable incentives combined power savings income exported power worth £ million,0
information shell’s contribution covid relief efforts published shell sustainability report april,0
appendix climate change transition lowcarbon society significant impact business,0
renamed csr report annual publication serves vital medium designed communicate minebea’s csr environmental policies well related activities,0
already begun shipping contracts anticipate ramping barrels per day,0
many uniper’s power plants also produce heat districtheating systems well process steam compressed air services nearby industrial enterprises,0
india lead china terms market growth demand coal india’s power production sector rise exponentially local coal production cannot meet demand,0
january concluded lng sales purchase agreement ichthys lng project also acquired first upstream equity interest,0
toyota industries works consolidated subsidiaries outside japan promote environmental activities global scale,1
dave spoke advantages weve got particularly low voc,0
reevaluated growth expectations transportation industry talked roughly penetration ev vehicles really types evs hevs phevs transportation sector,0
taken actions reduce exposure lower power prices exiting majority merchant generation pursuing longterm contracts future growth projects,0
discontinued use coalfired power plant kennecott also working reduce environmental footprint diamonds operations,1
